id	uid	author	attribution	signature	signature_index	title	part	translator	dedication	type	year	publication	censorship	censor	volume	number	section_content	section_form	first_page	last_page	length	filename_txt	comments
689	582	"Панаев И. И., Заблоцкий-Десятовский М. П., Хотинский М. С."	"установлено"	"нет"	"нет"	"Современные заметки"	"нет"	"нет"	"нет"	"проза"	1848	"неизвестно"	"31.10.1848"	"Крылов А. Л., Мехелин А. И."	"XII"	"11"	"Смесь"	"Смесь"	46	84	39	"1848_11_29"	""
690	4728	"Гончаров И. А."	"установлено"	"А. Чельский"	"нет"	"Письма столичного друга к провинциальному жениху"	"1"	"нет"	"нет"	"проза"	1848	"неизвестно"	"31.10.1848"	"Крылов А. Л., Мехелин А. И."	"XII"	"11"	"Моды"	"Моды"	1	11	11	"1848_11_30"	""
691	583	"Григорович Д. В."	"установлено"	"Д. Григорович"	"Д. В. Григоровича"	"Капельмейстер Сусликов. Повесть"	"нет"	"нет"	"нет"	"проза"	1848	"08.12.1848"	"30.11.1848"	"Крылов А. Л., Мехелин А. И."	"XII"	"12"	"Словесность"	"Словесность"	267	306	40	"1848_12_1"	""
692	4793	"Некрасов Н. А., Панаева А. Я."	"установлено"	"Н. Некрасов — Н. Станицкий"	"Н. А. Некрасова, Н. Н. Станицкого"	"Три страны света. Роман в осьми частях"	"3"	"нет"	"нет"	"проза"	1848	"08.12.1848"	"30.11.1848"	"Крылов А. Л., Мехелин А. И."	"XII"	"12"	"Словесность"	"Словесность"	307	410	104	"1848_12_2"	""
693	4789	"Филдинг Г."	"установлено"	"нет"	"Генриха Филдинга, А. И. Кронеберга"	"Том Джонс"	"8"	"Кронеберг А. И."	"нет"	"проза"	1848	"08.12.1848"	"30.11.1848"	"Крылов А. Л., Мехелин А. И."	"XII"	"12"	"Словесность"	"Словесность"	411	560	150	"1848_12_3"	""
694	4627	"Ковалевский Е. П."	"установлено"	"Е. Ковалевский"	"Е. П. Ковалевского"	"Из путешествия во Внутреннюю Африку"	"1"	"нет"	"нет"	"проза"	1848	"08.12.1848"	"30.11.1848"	"Крылов А. Л., Мехелин А. И."	"XII"	"12"	"Науки и художества"	"Науки и художества"	49	64	16	"1848_12_4"	""
695	4576	"Кавелин К. Д."	"установлено"	"К. Кавелин"	"К. Д. Кавелина"	"Быт русского народа. Соч. А. Терещенки. СПб. 1848. В семи частях"	"3"	"нет"	"нет"	"проза"	1848	"08.12.1848"	"30.11.1848"	"Крылов А. Л., Мехелин А. И."	"XII"	"12"	"Критика и библиография"	"Критика и библиография"	95	138	44	"1848_12_5"	""
696	584	"неизвестный"	"не установлено"	"нет"	"нет"	"Бренко. Поэма. Соч. С. Костарева. М. 1848"	"нет"	"нет"	"нет"	"проза"	1848	"08.12.1848"	"30.11.1848"	"Крылов А. Л., Мехелин А. И."	"XII"	"12"	"Критика и библиография"	"Критика и библиография"	139	151	13	"1848_12_6"	""
697	585	"неизвестный"	"не установлено"	"нет"	"нет"	"Раек. М. 1848"	"нет"	"нет"	"нет"	"проза"	1848	"08.12.1848"	"30.11.1848"	"Крылов А. Л., Мехелин А. И."	"XII"	"12"	"Критика и библиография"	"Критика и библиография"	151	154	4	"1848_12_7"	""
698	586	"Егунов А. Н."	"под вопросом"	"нет"	"нет"	"Книга для купцов, приказчиков, конторщиков и комиссионеров. М. 1848"	"нет"	"нет"	"нет"	"проза"	1848	"08.12.1848"	"30.11.1848"	"Крылов А. Л., Мехелин А. И."	"XII"	"12"	"Критика и библиография"	"Критика и библиография"	154	159	6	"1848_12_8"	""
699	587	"Семека В. С."	"установлено"	"нет"	"нет"	"Первые опыты военной статистики. Д. Милютина. Книжка 2-я. СПб. 1848"	"нет"	"нет"	"нет"	"проза"	1848	"08.12.1848"	"30.11.1848"	"Крылов А. Л., Мехелин А. И."	"XII"	"12"	"Критика и библиография"	"Критика и библиография"	159	169	11	"1848_12_9"	""
700	588	"неизвестный"	"не установлено"	"нет"	"нет"	"Трактат о переливании крови (как единственном средстве во многих случаях спасти угасающую жизнь), составленный в историческом, физиологическом и хирургическом отношении Алексеем Филомафитским, профессором Императорского Московского университета. М. 1848"	"нет"	"нет"	"нет"	"проза"	1848	"08.12.1848"	"30.11.1848"	"Крылов А. Л., Мехелин А. И."	"XII"	"12"	"Критика и библиография"	"Критика и библиография"	169	171	3	"1848_12_10"	""
701	589	"неизвестный"	"не установлено"	"нет"	"нет"	"Очерки современной жизни. Семья асессорши. 2 тома. Сочинение М. Корсини. 1848. СПб."	"нет"	"нет"	"нет"	"проза"	1848	"08.12.1848"	"30.11.1848"	"Крылов А. Л., Мехелин А. И."	"XII"	"12"	"Критика и библиография"	"Критика и библиография"	171	183	13	"1848_12_11"	""
702	590	"неизвестный"	"не установлено"	"нет"	"нет"	"Руководство к первоначальному изучению всеобщей истории. Сочинение Фольгера, перевод с немецкого. СПб. 1848. История Афинской республики. Сочинение Михаила Куторги. СПб. 1848"	"нет"	"нет"	"нет"	"проза"	1848	"08.12.1848"	"30.11.1848"	"Крылов А. Л., Мехелин А. И."	"XII"	"12"	"Критика и библиография"	"Критика и библиография"	183	197	15	"1848_12_12"	""
703	591	"Кавелин К. Д."	"установлено"	"нет"	"нет"	"Руководство к изучению форм и порядка делопроизводства, составленное К. З<осимский>. Одобрено юридическим факультетом Императорского С.-Петербургского университета для употребления в училищах детей канцелярских служителей. СПб. 1848"	"нет"	"нет"	"нет"	"проза"	1848	"08.12.1848"	"30.11.1848"	"Крылов А. Л., Мехелин А. И."	"XII"	"12"	"Критика и библиография"	"Критика и библиография"	197	198	2	"1848_12_13"	""
704	592	"неизвестный"	"не установлено"	"нет"	"нет"	"Нужно, чтобы дверь была либо (или) отворена, либо (или) затворена. Пословица в одном действии. Альфреда де Мюссе. Перевод с французского. СПб. 1848"	"нет"	"нет"	"нет"	"проза"	1848	"08.12.1848"	"30.11.1848"	"Крылов А. Л., Мехелин А. И."	"XII"	"12"	"Критика и библиография"	"Критика и библиография"	198	199	2	"1848_12_14"	""
705	593	"Егунов А. Н."	"под вопросом"	"нет"	"нет"	"Хронологические таблицы в трех книгах, предварительно рассмотренные Императорскою Академиею наук. Сочинение П. Хавского, действительного члена Императорского Общества истории и древностей российских при Императорском Московском университете. М. 1848"	"нет"	"нет"	"нет"	"проза"	1848	"08.12.1848"	"30.11.1848"	"Крылов А. Л., Мехелин А. И."	"XII"	"12"	"Критика и библиография"	"Критика и библиография"	199	200	2	"1848_12_15"	""
706	4813	"Хотинский М. С."	"установлено"	"нет"	"Вильяма Прескотта"	"History of the Conquest of Perou, with a preliminary view of the civilization of the Incas, by William H. Prescott, etc. etc. etc. London. 1848, 2 vol. (История завоевания Перу, с предварительным взглядом на образованных инков, сочин. Вильяма Прескотта, члена-корреспондента Французского института, Берлинской академии наук, Исторической академии в Мадриде, Неаполитанской академии и др. Лондон. 1848, 2 части, с картою древнего Перу)"	"2"	"нет"	"нет"	"проза"	1848	"08.12.1848"	"30.11.1848"	"Крылов А. Л., Мехелин А. И."	"XII"	"12"	"Иностранная литература"	"Иностранная литература"	41	88	48	"1848_12_16"	""
707	594	"Дружинин А. В."	"установлено"	"нет"	"***"	"Самоубийство. Рассказ"	"нет"	"нет"	"нет"	"проза"	1848	"08.12.1848"	"30.11.1848"	"Крылов А. Л., Мехелин А. И."	"XII"	"12"	"Смесь"	"Смесь"	85	108	24	"1848_12_17"	""
708	595	"Ильенков П. А."	"установлено"	"нет"	"нет"	"Превращения веществ в животном организме, влияние пищи азотистой и безазотной"	"нет"	"нет"	"нет"	"проза"	1848	"08.12.1848"	"30.11.1848"	"Крылов А. Л., Мехелин А. И."	"XII"	"12"	"Смесь"	"Смесь"	108	113	6	"1848_12_18"	""
709	596	"Ильенков П. А."	"установлено"	"нет"	"нет"	"Искусственное оплодотворение в применении к разведению рыбы"	"нет"	"нет"	"нет"	"проза"	1848	"08.12.1848"	"30.11.1848"	"Крылов А. Л., Мехелин А. И."	"XII"	"12"	"Смесь"	"Смесь"	113	116	4	"1848_12_19"	""
710	597	"Егунов А. Н., Заблоцкий-Десятовский М. П., Лонгинов М. Н., Некрасов Н. А., Панаев И. И., Солоницын В. А., Хотинский М. С."	"установлено"	"нет"	"нет"	"Современные заметки"	"нет"	"нет"	"нет"	"проза"	1848	"08.12.1848"	"30.11.1848"	"Крылов А. Л., Мехелин А. И."	"XII"	"12"	"Смесь"	"Смесь"	116	180	65	"1848_12_20"	""
711	4728	"Гончаров И. А."	"установлено"	"нет"	"нет"	"Письма столичного друга к провинциальному жениху"	"2"	"нет"	"нет"	"проза"	1848	"08.12.1848"	"30.11.1848"	"Крылов А. Л., Мехелин А. И."	"XII"	"12"	"Моды"	"Моды"	13	24	12	"1848_12_21"	""
712	598	"Дружинин А. В."	"установлено"	"А. Дружинин"	"А. В. Дружинина"	"Жюли. Роман в двух частях"	"нет"	"нет"	"нет"	"проза"	1849	"неизвестно"	"31.12.1848"	"Крылов А. Л., Мехелин А. И."	"XIII"	"1"	"Словесность"	"Словесность"	5	164	160	"1849_1_1"	""
713	4793	"Некрасов Н. А., Панаева А. Я."	"установлено"	"Н. Некрасов — Н. Станицкий"	"Н. А. Некрасова, Н. Н. Станицкого"	"Три страны света. Роман в осьми частях"	"4"	"нет"	"нет"	"проза"	1849	"неизвестно"	"31.12.1848"	"Крылов А. Л., Мехелин А. И."	"XIII"	"1"	"Словесность"	"Словесность"	165	274	110	"1849_1_2"	""
714	4680	"Соловьев С. М."	"установлено"	"С. Соловьев"	"С. Соловьева"	"Обзор событий русской истории от кончины царя Феодора Иоанновича до вступления на престол дома Романовых"	"5"	"нет"	"нет"	"проза"	1849	"неизвестно"	"31.12.1848"	"Крылов А. Л., Мехелин А. И."	"XIII"	"1"	"Науки и художества"	"Науки и художества"	1	36	36	"1849_1_3"	""
715	4726	"Боткин В. П."	"установлено"	"П. <В.> Боткин"	"В. П. Боткина"	"Письма об Испании"	"5"	"нет"	"нет"	"проза"	1849	"неизвестно"	"31.12.1848"	"Крылов А. Л., Мехелин А. И."	"XIII"	"1"	"Науки и художества"	"Науки и художества"	37	66	30	"1849_1_4"	""
716	599	"Анненков П. В."	"установлено"	"нет"	"нет"	"Заметки о русской литературе прошлого года"	"нет"	"нет"	"нет"	"проза"	1849	"неизвестно"	"31.12.1848"	"Крылов А. Л., Мехелин А. И."	"XIII"	"1"	"Критика и библиография"	"Критика и библиография"	1	23	23	"1849_1_5"	""
717	600	"неизвестный"	"не установлено"	"нет"	"нет"	"Очерки современной жизни. Том III. Любовь светских людей. Сочинение М. Корсини. СПб. 1849"	"нет"	"нет"	"нет"	"проза"	1849	"неизвестно"	"31.12.1848"	"Крылов А. Л., Мехелин А. И."	"XIII"	"1"	"Критика и библиография"	"Критика и библиография"	24	37	14	"1849_1_6"	""
718	601	"неизвестный"	"не установлено"	"нет"	"нет"	"Путевые заметки. Святогорский монастырь и сельцо Михайловское. Новейшие сведения о торговле Европы и Северной Америки"	"нет"	"нет"	"нет"	"проза"	1849	"неизвестно"	"31.12.1848"	"Крылов А. Л., Мехелин А. И."	"XIII"	"1"	"Критика и библиография"	"Критика и библиография"	37	43	7	"1849_1_7"	""
719	602	"неизвестный"	"не установлено"	"нет"	"нет"	"Секреты дамского туалета и тайны женского сердца, или Испытанные и верные наставления молодым дамам и девицам, как сохранить красоту, поддерживать молодость, сберегать здоровье, одеваться со вкусом и нравиться, с присовокуплением сердечных тайн, известных одним женщинам, но которые недурно узнать и мужчинам. В двух частях. Соч. Викторины Лю<бимов>ой. М. 1848. Невесты-бесприданницы, или Лучшее приданое для молодых девиц, желающих быть счастливыми в супружестве. Секретная книжка для дамского ридикюля, составленная Василием Потаповым. М. 1848"	"нет"	"нет"	"нет"	"проза"	1849	"неизвестно"	"31.12.1848"	"Крылов А. Л., Мехелин А. И."	"XIII"	"1"	"Критика и библиография"	"Критика и библиография"	43	61	19	"1849_1_8"	""
720	603	"неизвестный"	"не установлено"	"нет"	"нет"	"Московские свахи, или Купцы и купчики, купеческие жены и купеческие вдовушки. Рассказ в четырех картинах. М. 1848"	"нет"	"нет"	"нет"	"проза"	1849	"неизвестно"	"31.12.1848"	"Крылов А. Л., Мехелин А. И."	"XIII"	"1"	"Критика и библиография"	"Критика и библиография"	61	65	5	"1849_1_9"	""
721	604	"Ильенков П. А."	"установлено"	"П. Ильенков"	"нет"	"О русских паровых машинах и сельских мельницах. Составлено В. Карелиным. СПб. 1848"	"нет"	"нет"	"нет"	"проза"	1849	"неизвестно"	"31.12.1848"	"Крылов А. Л., Мехелин А. И."	"XIII"	"1"	"Критика и библиография"	"Критика и библиография"	65	71	7	"1849_1_10"	""
722	605	"неизвестный"	"не установлено"	"нет"	"нет"	"Краткая история главных изобретений и открытий по части наук, искусств и общежития, сделанных в Европе от начала христианской эры до XIX века. Сочинение, одобренное обществом первоначального обучения. Перевод с французского с шестого издания, пополненный переводчиком. СПб. 1848"	"нет"	"нет"	"нет"	"проза"	1849	"неизвестно"	"31.12.1848"	"Крылов А. Л., Мехелин А. И."	"XIII"	"1"	"Критика и библиография"	"Критика и библиография"	72	74	3	"1849_1_11"	""
723	606	"неизвестный"	"не установлено"	"нет"	"нет"	"Исследования об истории и древностях города Херсонеса Таврического. Сочинение Б. В. Кене, изданное иждивением Археологическо-нумизматического общества. С 10 таблицами. СПб. 1848"	"нет"	"нет"	"нет"	"проза"	1849	"неизвестно"	"31.12.1848"	"Крылов А. Л., Мехелин А. И."	"XIII"	"1"	"Критика и библиография"	"Критика и библиография"	74	75	2	"1849_1_12"	""
724	607	"неизвестный"	"не установлено"	"нет"	"нет"	"Москва с топографическим указанием всей ее местности и окрестностей. Подробная справочная книжка для приезжающих и живущих в столице, сост. М. Рудольф. В трех частях, с планом Москвы. М. 1848"	"нет"	"нет"	"нет"	"проза"	1849	"неизвестно"	"31.12.1848"	"Крылов А. Л., Мехелин А. И."	"XIII"	"1"	"Критика и библиография"	"Критика и библиография"	75	77	3	"1849_1_13"	""
725	608	"неизвестный"	"не установлено"	"нет"	"нет"	"Арифметический самоучитель геометрии, механики, физики и астрономии с чертежами и рисунками. Александра Львова. М. 1848"	"нет"	"нет"	"нет"	"проза"	1849	"неизвестно"	"31.12.1848"	"Крылов А. Л., Мехелин А. И."	"XIII"	"1"	"Критика и библиография"	"Критика и библиография"	77	84	8	"1849_1_14"	""
726	609	"неизвестный"	"не установлено"	"нет"	"нет"	"Исторические рассказы, соч. А. О. Ишимовой. СПб. 1849. Ермак, исторический рассказ для детей. П. И. Небольсиным, с картинками, рисованными Жуковским. Издание А. И. Попова. СПб. 1849"	"нет"	"нет"	"нет"	"проза"	1849	"неизвестно"	"31.12.1848"	"Крылов А. Л., Мехелин А. И."	"XIII"	"1"	"Критика и библиография"	"Критика и библиография"	84	88	5	"1849_1_15"	""
727	610	"неизвестный"	"не установлено"	"нет"	"нет"	"Рассказы из жизни славных соотечественников, написанные для детского чтения. Изд. А. И. Поповым. СПб. 1849. Детская карманная библиотека. Москва. Альманах на 1849 г. СПб. 1849. Альманах для детей. Воронеж. Собранный из статей в стихах и прозе разных авторов. Детская карманная библиотека. Лето. СПб. MDCCCXLIX"	"нет"	"нет"	"нет"	"проза"	1849	"неизвестно"	"31.12.1848"	"Крылов А. Л., Мехелин А. И."	"XIII"	"1"	"Критика и библиография"	"Критика и библиография"	88	90	3	"1849_1_16"	""
728	4813	"Хотинский М. С."	"установлено"	"нет"	"Вильяма Прескотта"	"History of the Conquest of Perou, with a preliminary view of the civilization of the Incas, by William H. Prescott, etc. etc. etc. London. 1848, 2 vol. (История завоевания Перу, с предварительным взглядом на образованных инков, сочин. Вильяма Прескотта, члена-корреспондента Французского института, Берлинской академии наук, Исторической академии в Мадриде, Неаполитанской академии и др. Лондон. 1848, 2 части, с картою древнего Перу)"	"3"	"нет"	"нет"	"проза"	1849	"неизвестно"	"31.12.1848"	"Крылов А. Л., Мехелин А. И."	"XIII"	"1"	"Иностранная литература"	"Иностранная литература"	1	50	50	"1849_1_17"	""
729	4641	"Герштеккер Ф."	"установлено"	"нет"	"Фридриха Герштеккера"	"Картины Миссисипи. Светлые и темные стороны американской жизни"	"2"	"Авенариус А. П."	"нет"	"проза"	1849	"неизвестно"	"31.12.1848"	"Крылов А. Л., Мехелин А. И."	"XIII"	"1"	"Смесь"	"Смесь"	1	28	28	"1849_1_18"	""
730	611	"неизвестный"	"не установлено"	"нет"	"нет"	"История растительности британских островов. Исследования гг. Форбса, Уатсона и Мартена"	"нет"	"нет"	"нет"	"проза"	1849	"неизвестно"	"31.12.1848"	"Крылов А. Л., Мехелин А. И."	"XIII"	"1"	"Смесь"	"Смесь"	28	35	8	"1849_1_19"	""
731	4722	"Дружинин А. В."	"установлено"	"***"	"нет"	"Письмо Иногороднего подписчика в редакцию «Современника» о русской журналистике"	"1"	"нет"	"нет"	"проза"	1849	"неизвестно"	"31.12.1848"	"Крылов А. Л., Мехелин А. И."	"XIII"	"1"	"Смесь"	"Смесь"	36	53	18	"1849_1_20"	""
732	612	"неизвестный"	"не установлено"	"Г***"	"нет"	"Александрынский театр"	"нет"	"нет"	"нет"	"проза"	1849	"неизвестно"	"31.12.1848"	"Крылов А. Л., Мехелин А. И."	"XIII"	"1"	"Смесь"	"Смесь"	53	63	11	"1849_1_21"	""
733	613	"Лонгинов М. Н."	"установлено"	"Л***"	"нет"	"Бенефис Фанни Эльслер"	"нет"	"нет"	"нет"	"проза"	1849	"неизвестно"	"31.12.1848"	"Крылов А. Л., Мехелин А. И."	"XIII"	"1"	"Смесь"	"Смесь"	63	67	5	"1849_1_22"	""
734	4721	"Солоницын В. А."	"установлено"	"С***"	"нет"	"Письма из Москвы о Москве"	"1"	"нет"	"нет"	"проза"	1849	"неизвестно"	"31.12.1848"	"Крылов А. Л., Мехелин А. И."	"XIII"	"1"	"Смесь"	"Смесь"	67	70	4	"1849_1_23"	""
735	614	"неизвестный"	"не установлено"	"нет"	"нет"	"Новости хозяйственные, промышленные и проч."	"нет"	"нет"	"нет"	"проза"	1849	"неизвестно"	"31.12.1848"	"Крылов А. Л., Мехелин А. И."	"XIII"	"1"	"Смесь"	"Смесь"	71	83	13	"1849_1_24"	""
736	615	"неизвестный"	"не установлено"	"нет"	"нет"	"Иностранные известия"	"нет"	"нет"	"нет"	"проза"	1849	"неизвестно"	"31.12.1848"	"Крылов А. Л., Мехелин А. И."	"XIII"	"1"	"Смесь"	"Смесь"	84	98	15	"1849_1_25"	""
737	616	"Панаев И. И."	"установлено"	"нет"	"нет"	"Рассказы дурного тона. Рассказ I. Русский Монте-Кристо"	"нет"	"нет"	"нет"	"проза"	1849	"неизвестно"	"31.12.1848"	"Крылов А. Л., Мехелин А. И."	"XIII"	"1"	"Смесь"	"Смесь"	98	102	5	"1849_1_26"	"Подпись под предисловием: ***."
738	617	"Панаев И. И., Панаева А. Я."	"установлено"	"нет"	"нет"	"Моды"	"нет"	"нет"	"нет"	"проза"	1849	"неизвестно"	"31.12.1848"	"Крылов А. Л., Мехелин А. И."	"XIII"	"1"	"Моды"	"Моды"	1	4	4	"1849_1_27"	""
739	618	"Тургенев И. С."	"установлено"	"Ив. Тургенев"	"И. С. Тургенева"	"Записки охотника. (Гамлет Щигровского уезда. — Чертопханов и Недопюскин. — Лес и степь)"	"нет"	"нет"	"нет"	"проза"	1849	"14.02.1849"	"31.01.1849"	"Крылов А. Л., Мехелин А. И."	"XIII"	"2"	"Словесность"	"Словесность"	275	314	40	"1849_2_1"	""
740	4793	"Некрасов Н. А., Панаева А. Я."	"установлено"	"Н. Некрасов — Н. Станицкий"	"Н. А. Некрасова, Н. Н. Станицкого"	"Три страны света. Роман в осьми частях"	"5"	"нет"	"нет"	"проза"	1849	"14.02.1849"	"31.01.1849"	"Крылов А. Л., Мехелин А. И."	"XIII"	"2"	"Словесность"	"Словесность"	315	418	104	"1849_2_2"	""
741	4680	"Соловьев С. М."	"установлено"	"С. Соловьев"	"С. Соловьева"	"Обзор событий русской истории от кончины царя Феодора Иоанновича до вступления на престол дома Романовых"	"6"	"нет"	"нет"	"проза"	1849	"14.02.1849"	"31.01.1849"	"Крылов А. Л., Мехелин А. И."	"XIII"	"2"	"Науки и художества"	"Науки и художества"	67	106	40	"1849_2_3"	""
742	4627	"Ковалевский Е. П."	"установлено"	"Е. Ковалевский"	"Е. П. Ковалевского"	"Из путешествия во Внутреннюю Африку"	"2"	"нет"	"нет"	"проза"	1849	"14.02.1849"	"31.01.1849"	"Крылов А. Л., Мехелин А. И."	"XIII"	"2"	"Науки и художества"	"Науки и художества"	107	122	16	"1849_2_4"	""
743	619	"Небольсин П. И."	"установлено"	"Павел Небольсин"	"П. Небольсина"	"О русских солдатах и других военных чинах до Петра Великого"	"нет"	"нет"	"нет"	"проза"	1849	"14.02.1849"	"31.01.1849"	"Крылов А. Л., Мехелин А. И."	"XIII"	"2"	"Науки и художества"	"Науки и художества"	123	154	32	"1849_2_5"	""
744	620	"Кавелин К. Д."	"установлено"	"К. Кавелин"	"К. Д. Кавелина"	"История образования и развития системы русского гражданского судопроизводства до уложения 1649 года. Сочинение И.<М.> Михайлова. СПб. 1848"	"нет"	"нет"	"нет"	"проза"	1849	"14.02.1849"	"31.01.1849"	"Крылов А. Л., Мехелин А. И."	"XIII"	"2"	"Критика и библиография"	"Критика и библиография"	91	104	14	"1849_2_6"	""
745	621	"неизвестный"	"не установлено"	"нет"	"нет"	"Критический взгляд на г-жу Эльслер, наскоро набросанный Николаем Телепневым. СПб. 1848"	"нет"	"нет"	"нет"	"проза"	1849	"14.02.1849"	"31.01.1849"	"Крылов А. Л., Мехелин А. И."	"XIII"	"2"	"Критика и библиография"	"Критика и библиография"	105	108	4	"1849_2_7"	""
746	622	"неизвестный"	"не установлено"	"нет"	"нет"	"Иван да Марья. Народная драма в пяти действиях. В. С. Таирова. СПб. 1849"	"нет"	"нет"	"нет"	"проза"	1849	"14.02.1849"	"31.01.1849"	"Крылов А. Л., Мехелин А. И."	"XIII"	"2"	"Критика и библиография"	"Критика и библиография"	108	110	3	"1849_2_8"	""
747	623	"неизвестный"	"не установлено"	"нет"	"нет"	"Очерк событий новой истории и отношение их к системе политического равновесия. Соч. В. Классовского. СПб. 1848"	"нет"	"нет"	"нет"	"проза"	1849	"14.02.1849"	"31.01.1849"	"Крылов А. Л., Мехелин А. И."	"XIII"	"2"	"Критика и библиография"	"Критика и библиография"	110	114	5	"1849_2_9"	""
748	624	"неизвестный"	"не установлено"	"нет"	"нет"	"Очерк всеобщей истории для начинающих. Составил Е. Македонский. Тетрадь I. Введение. СПб. 1848"	"нет"	"нет"	"нет"	"проза"	1849	"14.02.1849"	"31.01.1849"	"Крылов А. Л., Мехелин А. И."	"XIII"	"2"	"Критика и библиография"	"Критика и библиография"	114	119	6	"1849_2_10"	""
749	625	"неизвестный"	"не установлено"	"нет"	"нет"	"Упражнения в древней истории, составленные Александром Аникиевым, преподавателем при Обществе благородных девиц и училище ордена С. Екатерины. 2-е издание, несколько измененное и приумноженное. СПб. 1848"	"нет"	"нет"	"нет"	"проза"	1849	"14.02.1849"	"31.01.1849"	"Крылов А. Л., Мехелин А. И."	"XIII"	"2"	"Критика и библиография"	"Критика и библиография"	119	121	3	"1849_2_11"	""
750	626	"неизвестный"	"не установлено"	"нет"	"нет"	"Приятный и веселый собеседник в городском и деревенском обществах. Новое собрание острых слов и анекдотов. СПб. 1849. Волшебный кабинет Карла Боско, или Чародей молодежи. Посвящено для пользы и удовольствия юношеству. СПб. 1849"	"нет"	"нет"	"нет"	"проза"	1849	"14.02.1849"	"31.01.1849"	"Крылов А. Л., Мехелин А. И."	"XIII"	"2"	"Критика и библиография"	"Критика и библиография"	122	123	2	"1849_2_12"	""
751	627	"неизвестный"	"не установлено"	"нет"	"нет"	"Альманах предсказаний на 1849 год. С предварительным объяснением искусства угадывать будущее. СПб. 1848"	"нет"	"нет"	"нет"	"проза"	1849	"14.02.1849"	"31.01.1849"	"Крылов А. Л., Мехелин А. И."	"XIII"	"2"	"Критика и библиография"	"Критика и библиография"	123	123	1	"1849_2_13"	""
752	628	"неизвестный"	"не установлено"	"нет"	"нет"	"Библиотека для маленьких читателей. Друг детей. Перевод В. М. Строева. Часть I. СПб. 1848. Библиотека для маленьких читателей. 1) Детские повести в трех частях. 2) Притчи Крумахера в двух частях. 3) Сказки княгини де Бомон в одной части. 4) Театральные пьесы Шмидта в двух частях. 5) Умные животные. Собрание новых анекдотов и любопытных сведений об инстинкте, нравах и понятливости животных в одной части. Перевод В. М. Строева. СПб. 1849. Пустынник лесной розы. (L’ermite de Rose aux-bois). Увеселения детства, рассказы и сказки, собранные г-жою Жюли Дезон. Переведенные с французского Ф. Я. (с картинками), в двух частях. СПб. 1849. Двенадцать детских рассказов с двенадцатью оригинальными картинками. Вольный перевод с немецкого Р. Жуковского. СПб. 1848. Подарок в день именин. Комедия в одном действии. Г. Пехотинского. СПб. 1848. Альманах для детей «Владимир», собранный из статей в стихах и прозе разных авторов с 17 иллюстрированными картинками портретами российских государей, гербом Владимира и карточкою Владимирской губернии. Детская карманная библиотека. Осень. СПб. М. DCCCXLIX. Азбука для малолетних детей. С молитвами, нравоучениями, правилами о соблюдении здоровья и стихотворениями. Новое издание. Продается в книжных лавках Ильи Ив. Глазунова. СПб. 1848"	"нет"	"нет"	"нет"	"проза"	1849	"14.02.1849"	"31.01.1849"	"Крылов А. Л., Мехелин А. И."	"XIII"	"2"	"Критика и библиография"	"Критика и библиография"	124	128	5	"1849_2_14"	""
753	629	"неизвестный"	"не установлено"	"нет"	"нет"	"Добрый и злой. Повесть для детей. Сочинение Франца Гофмана. М. 1849. Ангел-хранитель детей. Издание С. Харитонова. М. 1848. Жертва дружбы. Повесть для юношества. Сочинение Франца Гофмана. М. 1849. Сцены из природы, домашнего и общественного быта различных народов земного шара. Издание С. Харитонова. М. 1849"	"нет"	"нет"	"нет"	"проза"	1849	"14.02.1849"	"31.01.1849"	"Крылов А. Л., Мехелин А. И."	"XIII"	"2"	"Критика и библиография"	"Критика и библиография"	128	134	7	"1849_2_15"	""
754	630	"неизвестный"	"не установлено"	"нет"	"нет"	"Естественная история для юношества. Млекопитающие. Изд. Кораблева и Сирякова. СПб. 1849. В 8-ю д. л. X — 430 стр. Естественная история известнейших животных. Изд. Ольхина. 1848. В 8-ю д. л. 55 стр."	"нет"	"нет"	"нет"	"проза"	1849	"14.02.1849"	"31.01.1849"	"Крылов А. Л., Мехелин А. И."	"XIII"	"2"	"Критика и библиография"	"Критика и библиография"	135	142	8	"1849_2_16"	""
755	631	"неизвестный"	"не установлено"	"нет"	"нет"	"О судебно-химическом исследовании ядовитых веществ вообще и мышьяка в особенности. Изложил К. Лейнард. СПб. 1848"	"нет"	"нет"	"нет"	"проза"	1849	"14.02.1849"	"31.01.1849"	"Крылов А. Л., Мехелин А. И."	"XIII"	"2"	"Критика и библиография"	"Критика и библиография"	142	142	1	"1849_2_17"	""
756	632	"неизвестный"	"не установлено"	"нет"	"нет"	"Разрешение вопроса: что такое холера, и средства предохранять себя от оной, г. Машкова. СПб. 1848"	"нет"	"нет"	"нет"	"проза"	1849	"14.02.1849"	"31.01.1849"	"Крылов А. Л., Мехелин А. И."	"XIII"	"2"	"Критика и библиография"	"Критика и библиография"	142	142	1	"1849_2_18"	""
757	633	"неизвестный"	"не установлено"	"нет"	"нет"	"Обязанности замужней женщины и положение ее в обществе. Сочинение г-жи Еллис. С французского перевода Августа Брюне. В двух частях. Часть I. СПб. 1848"	"нет"	"нет"	"нет"	"проза"	1849	"14.02.1849"	"31.01.1849"	"Крылов А. Л., Мехелин А. И."	"XIII"	"2"	"Критика и библиография"	"Критика и библиография"	142	147	6	"1849_2_19"	""
